Id,Age,Genre,Education,Autre,Ethnicité,Neuroticisme,Extraversion,Ouverture,Agréabilité,Conscienciosité,Impulsivité,Recherche de sensations,Alcohol,Amphetamines,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Methadone,Magic mushrooms,Nicotine,Semeron,Volatile substance abuse
72,45-54,Female,À quitté l'école à 18 ans,Canada,Blanc,31,47,44,50,43,1.06%,8.97%,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
73,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,22,46,46,46,48,13.63%,13.21%,6,1,1,0,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0
74,45-54,Male,Certificat ou diplome professionel,UK,Blanc,29,36,44,45,49,16.29%,11.83%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
75,65+,Female,À quitté l'école à 16 ans,UK,Blanc,25,27,26,33,44,11.46%,3.77%,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
76,25-34,Male,Université,UK,Blanc,34,41,35,38,39,11.46%,11.83%,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
77,45-54,Female,À quitté l'école à 17 ans,Canada,Blanc,32,35,35,46,46,1.06%,3.77%,4,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
78,35-44,Male,Université,UK,Blanc,37,28,42,35,39,18.83%,3.77%,3,1,0,0,6,2,5,1,0,1,0,0,0,1,0,0,6,0,0
79,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,28,34,31,32,25,1.06%,7.00%,6,0,1,0,6,1,5,1,0,1,0,0,0,0,0,0,3,0,1
80,35-44,Male,Certificat ou diplome professionel,UK,Blanc,32,34,32,50,37,18.83%,11.83%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
81,65+,Female,Doctorat,Canada,Blanc,36,42,49,42,51,18.83%,11.83%,6,0,0,3,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0
82,55-64,Female,Université,UK,Blanc,28,31,46,37,41,10.34%,13.21%,5,1,1,1,6,2,6,1,0,0,1,0,0,1,1,1,1,0,0
83,55-64,Male,Matrise,Canada,Blanc,19,49,39,47,51,18.83%,7.00%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
84,55-64,Female,À quitté l'école à 17 ans,UK,Mixed-Blanc/Noir,46,33,38,52,29,13.63%,11.83%,3,0,0,5,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
85,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,32,41,44,41,41,14.64%,11.62%,5,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
86,25-34,Female,À quitté l'école à 18 ans,UK,Blanc,31,40,35,44,45,11.46%,11.14%,3,0,1,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
87,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,43,39,38,44,41,18.83%,13.21%,5,0,1,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
88,55-64,Male,À quitté l'école à 16 ans,UK,Blanc,27,41,43,41,44,16.29%,13.21%,5,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
89,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,39,26,36,38,38,14.64%,3.77%,3,0,1,1,6,2,6,0,0,0,0,0,0,0,0,1,1,0,0
90,35-44,Female,Matrise,UK,Blanc,45,36,48,39,40,11.46%,11.83%,5,1,1,2,6,0,5,0,0,0,0,0,0,1,0,1,0,0,1
91,35-44,Female,Matrise,UK,Blanc,49,42,51,45,36,14.64%,11.62%,6,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,4,0,0
92,35-44,Male,Certificat ou diplome professionel,Canada,Blanc,40,37,51,45,47,10.34%,11.19%,2,0,0,3,6,1,0,0,0,0,0,0,0,1,0,1,1,0,0
93,25-34,Male,À quitté l'école à 18 ans,UK,Blanc,22,38,43,45,42,16.29%,8.97%,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
94,65+,Female,À quitté l'école à 16 ans,UK,Blanc,34,34,39,48,45,14.64%,4.62%,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
95,45-54,Male,Matrise,UK,Blanc,29,36,39,47,41,14.64%,3.77%,5,0,0,3,6,2,5,0,0,0,0,0,0,0,0,0,3,0,0
96,45-54,Male,Matrise,UK,Blanc,31,42,53,32,49,11.46%,11.83%,6,1,1,1,6,1,6,1,0,0,0,0,0,1,0,1,1,0,0
97,35-44,Female,Université,Canada,Blanc,37,32,48,42,47,14.64%,4.62%,4,1,0,0,6,2,6,1,0,0,0,0,0,1,0,1,3,0,0
98,45-54,Female,Matrise,UK,Blanc,31,44,44,39,33,13.63%,8.97%,5,1,0,1,6,1,5,1,0,0,0,0,0,0,0,0,2,0,0
99,35-44,Male,Doctorat,Canada,Blanc,25,37,46,39,48,18.83%,11.14%,4,1,0,0,6,1,4,1,0,0,0,0,0,1,0,1,2,0,0
100,25-34,Female,Université,UK,Blanc,29,58,51,49,52,11.46%,13.21%,6,2,0,3,6,3,5,0,0,1,0,0,0,0,0,0,5,0,0
101,25-34,Male,Matrise,Autre,Blanc,26,55,50,33,39,18.83%,11.14%,6,3,3,4,6,6,5,3,0,3,0,3,2,2,0,3,0,0,0
102,45-54,Female,À quitté l'école à 16 ans,Australie,Blanc,30,43,34,42,48,14.64%,8.97%,4,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
103,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,30,48,55,34,42,16.29%,11.14%,6,1,3,4,6,1,4,4,1,2,2,1,1,2,0,2,1,0,0
104,45-54,Female,Certificat ou diplome professionel,Canada,Blanc,36,44,44,41,43,13.63%,11.19%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
105,25-34,Female,Collège ou université aucun certificat ou diplome,Canada,Blanc,27,41,45,50,46,16.29%,11.62%,5,0,0,0,6,6,6,2,0,2,0,0,0,0,0,2,6,0,0
106,35-44,Male,Certificat ou diplome professionel,UK,Blanc,18,43,33,38,54,14.64%,4.62%,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
107,25-34,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,46,38,33,45,39,14.64%,8.97%,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
108,35-44,Female,À quitté l'école à 16 ans,UK,Blanc,37,40,37,38,46,11.46%,11.83%,5,3,0,0,6,0,6,3,0,0,0,0,0,0,0,0,6,0,0
109,25-34,Female,Université,UK,Blanc,31,53,47,44,47,5.52%,11.14%,5,0,0,3,6,3,6,4,0,0,0,0,0,0,0,0,1,0,0
110,45-54,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,28,43,36,37,38,16.29%,11.62%,5,1,0,0,6,2,6,0,0,0,0,0,0,0,0,0,3,0,0
111,45-54,Male,Matrise,UK,Asiatique ,34,42,47,41,41,13.63%,11.19%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
112,25-34,Male,Matrise,UK,Blanc,39,32,40,39,37,13.63%,13.21%,6,1,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0
113,25-34,Female,Université,UK,Blanc,25,42,52,35,36,18.83%,11.83%,3,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,6,0,0
114,45-54,Female,Certificat ou diplome professionel,UK,Blanc,36,44,48,44,47,13.63%,11.83%,4,0,0,1,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0
115,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,17,52,55,38,31,5.52%,11.14%,4,1,1,2,6,6,4,1,0,2,2,2,0,2,0,2,6,0,0
116,25-34,Female,Certificat ou diplome professionel,Canada,Blanc,38,36,40,45,49,14.64%,3.77%,5,1,2,0,6,2,5,2,0,2,0,0,0,1,0,2,6,0,0
117,35-44,Male,Certificat ou diplome professionel,Canada,Blanc,42,36,47,31,39,11.46%,11.83%,4,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,6,0,0
118,25-34,Female,Université,UK,Blanc,51,45,55,44,33,11.46%,13.21%,5,1,1,3,6,1,5,3,0,3,2,2,2,2,0,3,4,0,0
119,35-44,Female,Collège ou université aucun certificat ou diplome,USA,Blanc,53,26,29,50,44,18.83%,4.62%,5,0,0,6,6,1,6,0,0,0,0,0,0,1,1,0,6,0,0
120,35-44,Female,Université,UK,Blanc,32,44,39,45,51,18.83%,8.97%,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,0
121,25-34,Female,Matrise,UK,Blanc,26,44,39,36,47,13.63%,5.46%,6,1,0,0,6,1,6,0,0,0,0,0,0,1,0,1,2,0,0
122,35-44,Female,Certificat ou diplome professionel,UK,Blanc,50,31,35,29,36,11.46%,11.62%,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0
123,55-64,Male,Matrise,UK,Blanc,38,41,45,41,35,18.83%,11.19%,6,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,1,0,0
124,25-34,Female,Université,UK,Blanc,38,35,43,43,43,7.85%,11.62%,5,1,0,0,6,3,5,2,0,0,0,0,0,0,0,0,3,0,1
125,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,32,52,48,46,46,18.83%,11.83%,3,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
126,55-64,Male,Université,UK,Blanc,31,48,49,44,49,11.46%,13.21%,6,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,2,0,0
127,45-54,Male,Université,UK,Blanc,25,44,38,40,42,18.83%,8.97%,5,1,1,0,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0
128,45-54,Female,À quitté l'école à 17 ans,UK,Blanc,32,34,40,45,48,14.64%,3.77%,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
129,35-44,Male,Doctorat,UK,Asiatique ,36,44,47,44,44,18.83%,7.00%,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0
130,45-54,Female,Matrise,UK,Blanc,28,46,38,49,45,13.63%,13.21%,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
131,45-54,Female,À quitté l'école à 16 ans,UK,Blanc,45,42,36,46,55,16.29%,7.00%,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
132,45-54,Female,À quitté l'école à 16 ans,UK,Autre ,22,39,37,57,46,14.64%,3.77%,4,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
133,35-44,Female,À quitté l'école à 18 ans,Republique d'Ireland,Blanc,33,36,42,42,44,14.64%,4.62%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
134,35-44,Male,Matrise,UK,Blanc,35,41,48,42,43,11.46%,13.21%,5,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,5,0,0
135,25-34,Female,Matrise,UK,Mixed-Blanc/Asiatique ,60,29,44,47,37,14.64%,13.21%,6,1,0,0,6,1,6,2,0,0,0,0,0,0,0,0,2,0,1
136,35-44,Female,À quitté l'école à 16 ans,UK,Blanc,21,50,42,54,52,11.46%,11.19%,1,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
137,45-54,Female,Université,UK,Blanc,34,38,34,54,52,7.85%,11.62%,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
138,45-54,Female,Université,UK,Blanc,25,50,48,48,45,1.06%,7.00%,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0
139,55-64,Male,Université,UK,Blanc,31,34,47,45,48,14.64%,7.00%,6,0,0,4,6,1,6,0,0,0,0,0,0,0,2,0,6,0,0
140,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,35,42,42,49,40,18.83%,11.83%,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
141,25-34,Female,Université,UK,Asiatique ,54,42,55,49,40,16.29%,11.83%,5,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
142,35-44,Female,À quitté l'école à 16 ans,UK,Blanc,28,44,38,51,46,14.64%,3.77%,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0
143,35-44,Male,À quitté l'école à 17 ans,UK,Blanc,31,38,37,45,41,11.46%,13.21%,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,3,0,0
144,35-44,Male,Certificat ou diplome professionel,UK,Noir,21,48,42,51,54,16.29%,11.19%,1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
145,45-54,Male,Certificat ou diplome professionel,Canada,Blanc,37,32,43,35,42,18.83%,11.19%,6,0,0,0,6,3,5,0,0,0,0,0,0,1,0,1,1,0,1
146,45-54,Female,Université,UK,Blanc,31,41,38,56,47,7.85%,13.21%,4,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0
147,55-64,Male,Certificat ou diplome professionel,UK,Blanc,38,31,45,40,40,13.63%,7.00%,6,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
148,35-44,Male,Matrise,UK,Noir,30,43,41,44,48,18.83%,11.19%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
149,35-44,Female,Certificat ou diplome professionel,UK,Blanc,35,32,28,37,44,14.64%,4.62%,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
150,45-54,Female,Université,UK,Blanc,28,52,41,55,52,18.83%,7.00%,4,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,1,0,0
151,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,33,48,47,47,49,13.63%,11.62%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
152,35-44,Female,Université,UK,Blanc,41,28,33,46,35,16.29%,8.97%,5,0,0,0,6,2,6,0,0,2,0,0,0,0,0,0,2,0,0
153,25-34,Female,Université,UK,Blanc,31,29,41,39,37,1.06%,4.62%,5,0,1,2,6,2,4,1,0,1,0,0,2,0,0,1,5,0,0
154,25-34,Male,Université,UK,Blanc,29,46,34,48,47,18.83%,11.19%,6,0,1,0,4,1,6,0,0,0,0,0,0,0,0,0,1,0,0
155,18-24,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,59,30,51,40,46,18.83%,11.19%,5,0,0,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
156,35-44,Female,Université,UK,Noir,42,30,37,45,40,16.29%,8.97%,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
157,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,48,40,44,50,43,13.63%,11.19%,5,2,1,1,6,2,6,2,0,0,0,0,0,0,0,0,5,0,0
158,25-34,Male,À quitté l'école à 16 ans,UK,Blanc,26,47,33,40,47,18.83%,11.19%,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
159,35-44,Female,Université,Australie,Blanc,33,41,44,41,45,10.34%,11.14%,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
160,45-54,Female,Collège ou université aucun certificat ou diplome,UK,Noir,31,36,42,44,44,18.83%,7.00%,4,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
